question_id,question_text,source
Q4.4.4.2,具体采取了哪些措施？,Q4.4.4
Q4.4.4.3,在技术上遇到了哪些障碍？,Q4.4.4
Q4.4.4.4,在管理上遇到了哪些障碍？,Q4.4.4
Q4.4.4.5,你们如何检查这些措施的效果？,Q4.4.4
Q4.4.5.1,你们有没有采取措施来应对外部接口（如 USB 或其他端口）被用作攻击向量（例如通过代码注入）的威胁？,Q4.4.5
Q4.4.5.2,具体采取了哪些措施？,Q4.4.5
Q4.4.5.3,在技术上遇到了哪些障碍？,Q4.4.5
Q4.4.5.4,在管理上遇到了哪些障碍？,Q4.4.5
Q4.4.5.5,你们如何检查这些措施的效果？,Q4.4.5
Q4.4.6.1,你们有没有采取措施来应对包含病毒的介质连接到车辆的威胁？,Q4.4.6
Q4.4.6.2,具体采取了哪些措施？,Q4.4.6
Q4.4.6.3,在技术上遇到了哪些障碍？,Q4.4.6
Q4.4.6.4,在管理上遇到了哪些障碍？,Q4.4.6
Q4.4.6.5,你们如何检查这些措施的效果？,Q4.4.6
Q4.4.7.1,你们有没有采取措施来应对利用诊断访问（例如通过 OBD 适配器）发起的攻击？比如直接或间接操纵车辆参数。,Q4.4.7
Q4.4.7.2,具体采取了哪些措施？,Q4.4.7
Q4.4.7.3,在技术上遇到了哪些障碍？,Q4.4.7
Q4.4.7.4,在管理上遇到了哪些障碍？,Q4.4.7
Q4.4.7.5,你们如何检查这些措施的效果？,Q4.4.7
Q4.5.1.1,你们有没有采取措施来应对从车辆系统中提取受版权保护或专有软件的威胁（如产品盗版或软件失窃）？,Q4.5.1
Q4.5.1.2,具体采取了哪些措施？,Q4.5.1
Q4.5.1.3,在技术上遇到了哪些障碍？,Q4.5.1
Q4.5.1.4,在管理上遇到了哪些障碍？,Q4.5.1
Q4.5.1.5,你们如何检查这些措施的效果？,Q4.5.1
Q4.5.2.1,你们有没有采取措施来应对未经授权访问车主个人信息（如身份信息、支付账号数据、通讯录、位置信息或车辆电子 ID）的威胁？,Q4.5.2
Q4.5.2.2,具体采取了哪些措施？,Q4.5.2
Q4.5.2.3,在技术上遇到了哪些障碍？,Q4.5.2
Q4.5.2.4,在管理上遇到了哪些障碍？,Q4.5.2
Q4.5.2.5,你们如何检查这些措施的效果？,Q4.5.2
Q4.5.3.1,你们有没有采取措施来应对加密密钥被提取的威胁？,Q4.5.3
Q4.5.3.2,具体采取了哪些措施？,Q4.5.3
Q4.5.3.3,在技术上遇到了哪些障碍？,Q4.5.3
Q4.5.3.4,在管理上遇到了哪些障碍？,Q4.5.3
Q4.5.3.5,你们如何检查这些措施的效果？,Q4.5.3
Q4.5.4.1,你们有没有采取措施来应对非法或未经授权修改车辆电子 ID 的威胁？,Q4.5.4
Q4.5.4.2,具体采取了哪些措施？,Q4.5.4
Q4.5.4.3,在技术上遇到了哪些障碍？,Q4.5.4
Q4.5.4.4,在管理上遇到了哪些障碍？,Q4.5.4
Q4.5.4.5,你们如何检查这些措施的效果？,Q4.5.4
Q4.5.5.1,你们有没有采取措施来应对身份欺诈？例如，用户在与收费系统或制造商后台服务通信时使用虚假身份。,Q4.5.5
Q4.5.5.2,具体采取了哪些措施？,Q4.5.5
Q4.5.5.3,在技术上遇到了哪些障碍？,Q4.5.5
Q4.5.5.4,在管理上遇到了哪些障碍？,Q4.5.5
Q4.5.5.5,你们如何检查这些措施的效果？,Q4.5.5
Q4.5.6.1,你们有没有采取措施来应对旨在规避监控系统的行为（如黑客攻击、篡改或拦截 ODR 追踪器信息或运行次数等监控数据）？,Q4.5.6
Q4.5.6.2,具体采取了哪些措施？,Q4.5.6
Q4.5.6.3,在技术上遇到了哪些障碍？,Q4.5.6
Q4.5.6.4,在管理上遇到了哪些障碍？,Q4.5.6
Q4.5.6.5,你们如何检查这些措施的效果？,Q4.5.6
Q4.5.7.1,你们有没有采取措施来应对旨在伪造车辆行驶数据（如里程、速度或行驶方向）的数据操纵威胁？,Q4.5.7
Q4.5.7.2,具体采取了哪些措施？,Q4.5.7
Q4.5.7.3,在技术上遇到了哪些障碍？,Q4.5.7
Q4.5.7.4,在管理上遇到了哪些障碍？,Q4.5.7
Q4.5.7.5,你们如何检查这些措施的效果？,Q4.5.7
Q4.5.8.1,你们有没有采取措施来应对未经授权修改系统诊断数据的威胁？,Q4.5.8
Q4.5.8.2,具体采取了哪些措施？,Q4.5.8
Q4.5.8.3,在技术上遇到了哪些障碍？,Q4.5.8
Q4.5.8.4,在管理上遇到了哪些障碍？,Q4.5.8
Q4.5.8.5,你们如何检查这些措施的效果？,Q4.5.8
Q4.5.9.1,你们有没有采取措施来应对未经授权删除或篡改系统事件日志的威胁？,Q4.5.9
Q4.5.9.2,具体采取了哪些措施？,Q4.5.9
Q4.5.9.3,在技术上遇到了哪些障碍？,Q4.5.9
Q4.5.9.4,在管理上遇到了哪些障碍？,Q4.5.9
Q4.5.9.5,你们如何检查这些措施的效果？,Q4.5.9
Q4.5.10.1,你们有没有采取措施来应对引入恶意软件或恶意软件活动的威胁？,Q4.5.10
Q4.5.10.2,具体采取了哪些措施？,Q4.5.10
Q4.5.10.3,在技术上遇到了哪些障碍？,Q4.5.10
Q4.5.10.4,在管理上遇到了哪些障碍？,Q4.5.10
Q4.5.10.5,你们如何检查这些措施的效果？,Q4.5.10
Q4.5.11.1,你们有没有采取措施来应对伪造或未经授权创建车辆控制系统或信息系统软件的威胁？,Q4.5.11
Q4.5.11.2,具体采取了哪些措施？,Q4.5.11
Q4.5.11.3,在技术上遇到了哪些障碍？,Q4.5.11
Q4.5.11.4,在管理上遇到了哪些障碍？,Q4.5.11
Q4.5.11.5,你们如何检查这些措施的效果？,Q4.5.11
Q4.5.12.1,你们有没有采取措施来应对拒绝服务（DoS）攻击？例如通过在内部网络中大量发送 CAN 总线消息或以高频率消息触发 ECU 故障。,Q4.5.12
Q4.5.12.2,具体采取了哪些措施？,Q4.5.12
Q4.5.12.3,在技术上遇到了哪些障碍？,Q4.5.12
Q4.5.12.4,在管理上遇到了哪些障碍？,Q4.5.12
Q4.5.12.5,你们如何检查这些措施的效果？,Q4.5.12
Q4.5.13.1,你们有没有采取措施来应对未经授权访问以篡改关键车辆功能的配置参数（如制动数据或安全气囊部署阈值）？,Q4.5.13
Q4.5.13.2,具体采取了哪些措施？,Q4.5.13
Q4.5.13.3,在技术上遇到了哪些障碍？,Q4.5.13
Q4.5.13.4,在管理上遇到了哪些障碍？,Q4.5.13
Q4.5.13.5,你们如何检查这些措施的效果？,Q4.5.13
Q4.5.14.1,你们有没有采取措施来应对未经授权访问以篡改充电参数（如充电电压、充电功率或电池温度）？,Q4.5.14
Q4.5.14.2,具体采取了哪些措施？,Q4.5.14
Q4.5.14.3,在技术上遇到了哪些障碍？,Q4.5.14
Q4.5.14.4,在管理上遇到了哪些障碍？,Q4.5.14
Q4.5.14.5,你们如何检查这些措施的效果？,Q4.5.14
Q4.6.1.1,你们有没有采取措施来应对使用“有效期长且长度短的加密密钥”所带来的威胁？这可能会让攻击者破解加密。,Q4.6.1
Q4.6.1.2,具体采取了哪些措施？,Q4.6.1
Q4.6.1.3,在技术上遇到了哪些障碍？,Q4.6.1
Q4.6.1.4,在管理上遇到了哪些障碍？,Q4.6.1
Q4.6.1.5,你们如何检查这些措施的效果？,Q4.6.1
Q4.6.2.1,你们有没有采取措施来应对在保护敏感系统时加密算法使用不足的威胁？,Q4.6.2
Q4.6.2.2,具体采取了哪些措施？,Q4.6.2
Q4.6.2.3,在技术上遇到了哪些障碍？,Q4.6.2
Q4.6.2.4,在管理上遇到了哪些障碍？,Q4.6.2
Q4.6.2.5,你们如何检查这些措施的效果？,Q4.6.2
Q4.6.3.1,你们有没有采取措施来应对使用已过时的加密算法所带来的威胁？,Q4.6.3
Q4.6.3.2,具体采取了哪些措施？,Q4.6.3
Q4.6.3.3,在技术上遇到了哪些障碍？,Q4.6.3
Q4.6.3.4,在管理上遇到了哪些障碍？,Q4.6.3
Q4.6.3.5,你们如何检查这些措施的效果？,Q4.6.3
Q4.6.4.1,您是否已采取措施以应对“硬件或软件被设计成可能用于攻击或无法满足防御攻击设计要求”的威胁？,Q4.6.4
Q4.6.4.2,具体采取了哪些措施？,Q4.6.4
Q4.6.4.3,在技术上遇到了哪些障碍？,Q4.6.4
Q4.6.4.4,在管理上遇到了哪些障碍？,Q4.6.4
Q4.6.4.5,你们如何检查这些措施的效果？,Q4.6.4
Q4.6.5.1,您是否已采取措施以应对软件缺陷可能造成可被利用漏洞的威胁，尤其是软件未经过充分测试以确保不存在已知或未知缺陷时？,Q4.6.5
Q4.6.5.2,具体采取了哪些措施？,Q4.6.5
Q4.6.5.3,在技术上遇到了哪些障碍？,Q4.6.5
Q4.6.5.4,在管理上遇到了哪些障碍？,Q4.6.5
Q4.6.5.5,你们如何检查这些措施的效果？,Q4.6.5
Q4.6.6.1,您是否已采取措施以缓解开发遗留物（例如调试端口、JTAG接口、开发证书或开发者密码）可能被攻击者利用以访问ECU或获取高权限的威胁？,Q4.6.6
Q4.6.6.2,具体采取了哪些措施？,Q4.6.6
Q4.6.6.3,在技术上遇到了哪些障碍？,Q4.6.6
Q4.6.6.4,在管理上遇到了哪些障碍？,Q4.6.6
Q4.6.6.5,你们如何检查这些措施的效果？,Q4.6.6
Q4.6.7.1,你们有没有采取措施来应对多余的互联网端口保持开放的威胁？这可能会导致对网络系统的未经授权访问。,Q4.6.7
Q4.6.7.2,具体采取了哪些措施？,Q4.6.7
Q4.6.7.3,在技术上遇到了哪些障碍？,Q4.6.7
Q4.6.7.4,在管理上遇到了哪些障碍？,Q4.6.7
Q4.6.7.5,你们如何检查这些措施的效果？,Q4.6.7
Q4.6.8.1,你们有没有采取措施来应对规避网络隔离以获取控制权的威胁？例如，利用未受保护的网关或访问点（如卡车-挂车网关）访问其他网络段并发送任意 CAN 总线消息。,Q4.6.8
Q4.6.8.2,具体采取了哪些措施？,Q4.6.8
Q4.6.8.3,在技术上遇到了哪些障碍？,Q4.6.8
Q4.6.8.4,在管理上遇到了哪些障碍？,Q4.6.8
Q4.6.8.5,你们如何检查这些措施的效果？,Q4.6.8
Q4.7.1.1,你们有没有采取措施来应对车辆更换用户（如出售或租赁给新司机）时可能发生的个人数据泄露威胁？,Q4.7.1
Q4.7.1.2,具体采取了哪些措施？,Q4.7.1
Q4.7.1.3,在技术上遇到了哪些障碍？,Q4.7.1
Q4.7.1.4,在管理上遇到了哪些障碍？,Q4.7.1
Q4.7.1.5,你们如何检查这些措施的效果？,Q4.7.1
Q4.8.1.1,你们有没有采取措施来应对操纵 OEM 硬件的威胁？比如在车辆中添加未经授权的硬件以实现“中间人”攻击。,Q4.8.1
Q4.8.1.2,具体采取了哪些措施？,Q4.8.1
Q4.8.1.3,在技术上遇到了哪些障碍？,Q4.8.1
Q4.8.1.4,在管理上遇到了哪些障碍？,Q4.8.1
Q4.8.1.5,你们如何检查这些措施的效果？,Q4.8.1
Q4.9.1.1,你们有没有采取措施来应对员工滥用权限（如内部攻击）的威胁？,Q4.9.1
Q4.9.1.2,具体采取了哪些措施？,Q4.9.1
Q4.9.1.3,在技术上遇到了哪些障碍？,Q4.9.1
Q4.9.1.4,在管理上遇到了哪些障碍？,Q4.9.1
Q4.9.1.5,你们如何检查这些措施的效果？,Q4.9.1
Q4.9.2.1,你们有没有采取措施来应对未经授权的服务器互联网访问？例如通过后门、未修复的软件漏洞、SQL 注入攻击或其他攻击手段。,Q4.9.2
Q4.9.2.2,具体采取了哪些措施？,Q4.9.2
Q4.9.2.3,在技术上遇到了哪些障碍？,Q4.9.2
Q4.9.2.4,在管理上遇到了哪些障碍？,Q4.9.2
Q4.9.2.5,你们如何检查这些措施的效果？,Q4.9.2
Q4.9.3.1,你们有没有采取措施来应对未经授权的服务器物理访问？例如通过连接到服务器的 USB 闪存盘或其他介质。,Q4.9.3
Q4.9.3.2,具体采取了哪些措施？,Q4.9.3
Q4.9.3.3,在技术上遇到了哪些障碍？,Q4.9.3
Q4.9.3.4,在管理上遇到了哪些障碍？,Q4.9.3
Q4.9.3.5,你们如何检查这些措施的效果？,Q4.9.3
Q4.9.4.1,你们有没有采取措施来应对针对后台服务器的攻击？这些攻击可能会导致服务器停止运行，例如阻止其与车辆交互或提供基本服务。,Q4.9.4
Q4.9.4.2,具体采取了哪些措施？,Q4.9.4
Q4.9.4.3,在技术上遇到了哪些障碍？,Q4.9.4
Q4.9.4.4,在管理上遇到了哪些障碍？,Q4.9.4
Q4.9.4.5,你们如何检查这些措施的效果？,Q4.9.4
Q4.9.5.1,你们有没有采取措施来应对云端信息的丢失？例如，第三方云服务提供商存储的敏感数据由于攻击或意外事件而丢失。,Q4.9.5
Q4.9.5.2,具体采取了哪些措施？,Q4.9.5
Q4.9.5.3,在技术上遇到了哪些障碍？,Q4.9.5
Q4.9.5.4,在管理上遇到了哪些障碍？,Q4.9.5
Q4.9.5.5,你们如何检查这些措施的效果？,Q4.9.5
Q4.9.6.1,你们有没有采取措施来应对由于无意的数据共享（如管理错误或将数据存储在不安全的服务器上）导致的信息泄露？,Q4.9.6
Q4.9.6.2,具体采取了哪些措施？,Q4.9.6
Q4.9.6.3,在技术上遇到了哪些障碍？,Q4.9.6
Q4.9.6.4,在管理上遇到了哪些障碍？,Q4.9.6
Q4.9.6.5,你们如何检查这些措施的效果？,Q4.9.6
Q4.10.1.1,你们有没有采取措施来应对用户（如车主、运营商或维修工程师）被诱导进行无意中安装恶意软件或导致攻击的行为？,Q4.10.1
Q4.10.1.2,具体采取了哪些措施？,Q4.10.1
Q4.10.1.3,在技术上遇到了哪些障碍？,Q4.10.1
Q4.10.1.4,在管理上遇到了哪些障碍？,Q4.10.1
Q4.10.1.5,你们如何检查这些措施的效果？,Q4.10.1
Q4.10.2.1,你们有没有采取措施来应对未妥善遵守既定网络安全流程的风险？,Q4.10.2
Q4.10.2.2,具体采取了哪些措施？,Q4.10.2
Q4.10.2.3,在技术上遇到了哪些障碍？,Q4.10.2
Q4.10.2.4,在管理上遇到了哪些障碍？,Q4.10.2
Q4.10.2.5,你们如何检查这些措施的效果？,Q4.10.2
Q4.11.1.1,你们有没有采取措施来应对由于第三方事故（如交通事故或失窃）导致敏感数据丢失或受损的风险？,Q4.11.1
Q4.11.1.2,具体采取了哪些措施？,Q4.11.1
Q4.11.1.3,在技术上遇到了哪些障碍？,Q4.11.1
Q4.11.1.4,在管理上遇到了哪些障碍？,Q4.11.1
Q4.11.1.5,你们如何检查这些措施的效果？,Q4.11.1
Q4.11.2.1,你们有没有采取措施来应对由 DRM（数字版权管理）冲突引起的用户数据丢失风险？,Q4.11.2
Q4.11.2.2,具体采取了哪些措施？,Q4.11.2
Q4.11.2.3,在技术上遇到了哪些障碍？,Q4.11.2
Q4.11.2.4,在管理上遇到了哪些障碍？,Q4.11.2
Q4.11.2.5,你们如何检查这些措施的效果？,Q4.11.2
Q4.11.3.1,你们有没有采取措施来应对 IT 组件的磨损可能危及敏感数据完整性的风险？这可能导致进一步的问题（如加密密钥的损坏或篡改）。,Q4.11.3
Q4.11.3.2,具体采取了哪些措施？,Q4.11.3
Q4.11.3.3,在技术上遇到了哪些障碍？,Q4.11.3
Q4.11.3.4,在管理上遇到了哪些障碍？,Q4.11.3
Q4.11.3.5,你们如何检查这些措施的效果？,Q4.11.3
Q4.12.1,你们团队是否还采取了其他措施来应对网络安全风险？,Q4.12
Q4.13.1.1,你们组织内部是否明确定义了网络安全政策、规则和流程？,Q4.13.1
Q4.13.1.2,你们团队是否定义了针对特定组织的网络安全政策、规则和流程？,Q4.13.1
Q4.13.1.3,具体的障碍是什么？,Q4.13.1
Q4.13.2.1,你们组织内部是否对网络安全相关流程进行了积极管理？,Q4.13.2
Q4.13.2.2,你们团队是否投入资源来管理网络安全风险？,Q4.13.2
Q4.13.2.3,具体的挑战是什么？,Q4.13.2
Q4.13.2.4,组织是否分配并传达了在产品生命周期的相关阶段实现和维护网络安全的责任，并授予相应的授权，同时提供所需的资源？,Q4.13.2
Q4.13.2.5,具体的挑战是什么？,Q4.13.2
